,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record
Railroad Commissioner,DEM Chrysta Castañeda,"GRN Katija ""Kat"" Gruene",LIB Matt Sterett,"REP James ""Jim"" Wright",overvote,undervote,All
President/Vice President,,,,,,,
DEM Joseph R. Biden,287938.0,7174.0,5885.0,13404.0,12.0,11245.0,325658
GRE Howie Hawkins,552.0,667.0,66.0,201.0,,68.0,1554
LIB Jo Jorgensen,1126.0,268.0,2570.0,1879.0,1.0,319.0,6163
REP Donald J. Trump,4099.0,574.0,2933.0,74077.0,7.0,3550.0,85240
Write-in,,,3.0,,,,3
overvote,102.0,3.0,2.0,18.0,4.0,2.0,131
undervote,357.0,18.0,48.0,705.0,1.0,348.0,1477
All,294174.0,8704.0,11507.0,90284.0,25.0,15532.0,420226
